"BathingwaterStationId";"Name";"Latitude";"Longitude";"Location";"Responsible";"Type";"WaterType";"WaterArea";"WaterAreaNumber";"Started";"Closed";"BlueFlag";"ProfileUrl";"Main"
"134aed3d-221d-46ee-b603-c9e95cd1f30e";"St. Vejle å";"55,6134427295346";"12,382307323265108";"";"VALLENSBÆK KOMMUNE";"Kontrolstation";"Ferskvand";"Mangler";"Mangler";"06.01.1991 00.00.00";"";"False";"";""
"0ae5218c-91f9-4308-a609-d7133ec7b882";"Badeanstalt i Vallensbæk havn";"55,609969813584605";"12,400141313837947";"Vallensbæk Havnevej 28";"VALLENSBÆK KOMMUNE";"Badevandsstation";"Marin";"Køge Bugt";"DK_Coast7";"22.05.2019 00.00.00";"";"False";"https://b0301proddatasto.blob.core.windows.net/files/wrbg4g55.pdf";""
"b8b3d6a2-0eb7-4c3c-abb1-7518b843cb44";"Vallensbæk strand, ved Skrubben";"55,612220833832694";"12,404997602536042";"";"VALLENSBÆK KOMMUNE";"Badevandsstation";"Marin";"Køge Bugt";"DK_Coast7";"01.01.1999 00.00.00";"";"True";"https://b0301proddatasto.blob.core.windows.net/files/jlcdlwpx.pdf";""
"70a62db6-5eaf-48f5-8898-7c12b4c4769e";"Syd for Kastrup Lystbådehavn";"55,64042268518959";"12,653669704980267";"";"TÅRNBY KOMMUNE";"Badevandsstation";"Marin";"Nordlige Øresund";"DK_Coast6";"01.01.2011 00.00.00";"";"False";"https://b0301proddatasto.blob.core.windows.net/files/yi5bifci.pdf";""
"4deefdf8-25e0-4f88-b622-7aa3a7ba8f31";"Scanport badestation";"55,637046153925986";"12,656759502800412";"20 meter øst for parkeringsområdet ved  Jacob Fortlingsvej og akkurat nord for den Gamle skudehavn.";"TÅRNBY KOMMUNE";"Badevandsstation";"Marin";"Nordlige Øresund";"DKCOAST6";"14.02.2023 00.00.00";"";"False";"https://b0301proddatasto.blob.core.windows.net/files/jltxba55.pdf";""
"a96f10bd-6211-46a7-8006-43ec793cdffd";"Vestamager Diget - Inspektionsbro";"55,572752542046054";"12,545851540916678";"";"TÅRNBY KOMMUNE";"Kontrolstation";"Marin";"";"";"19.06.2017 00.00.00";"19.06.2017 00.00.00";"False";"";""
"31c4d93d-38eb-4de1-af66-134486dd1be9";"Syd for Kastrup Lystbådehavn";"55,64042268518959";"12,653669704980267";"";"TÅRNBY KOMMUNE";"Kontrolstation";"Marin";"Nordlige Øresund";"DK_Coast6";"01.01.2011 00.00.00";"01.01.2011 00.00.00";"False";"";""
"00903de0-f110-4800-aceb-152318893fb5";"Vestamager Diget - Inspektionsbro";"55,572752542046054";"12,545851540916678";"";"TÅRNBY KOMMUNE";"Kontrolstation";"Marin";"";"";"19.06.2017 00.00.00";"";"False";"";""
"4385760d-e084-4e34-8cf1-31e1728a5ba7";"Kastrup Søbad, nord for Kastrup lystbådehavn";"55,64545531901956";"12,649543574382358";"";"TÅRNBY KOMMUNE";"Badevandsstation";"Marin";"Nordlige Øresund";"DK_Coast6";"01.05.2005 00.00.00";"";"False";"https://b0301proddatasto.blob.core.windows.net/files/bty5fwjq.pdf";""
"6cd80369-65b6-4c5c-988a-246c4bc94231";"Vestamager Diget - Fugletårn 1";"55,57242700211871";"12,540632611135146";"";"TÅRNBY KOMMUNE";"Kontrolstation";"Marin";"";"";"19.06.2017 00.00.00";"";"False";"";""
"8f1eac66-db32-4bc3-aac5-f9a522442897";"Kastrup søbad";"55,633402568810006";"12,656894110974772";"";"TÅRNBY KOMMUNE";"Badevandsstation";"Marin";"Mangler";"Mangler";"31.12.1990 00.00.00";"31.12.1995 00.00.00";"False";"";""
"02644c26-4067-4598-b43f-db69360709ea";"Strandskoven ud for campingplads";"55,83374849675377";"10,640020916178033";"Strandskoven 7";"SAMSØ KOMMUNE";"Badevandsstation";"Marin";"Århus Bugt syd, Samsø og Djursland Syd";"DK_Coast143";"01.01.1992 00.00.00";"";"False";"https://b0301proddatasto.blob.core.windows.net/files/xxovf5bn.pdf";""
"8024debe-a244-4fca-b26b-c182dac7e2d1";"Fogedmarken";"55,823721932641064";"10,52529975428934";"";"SAMSØ KOMMUNE";"Badevandsstation";"Marin";"Århus Bugt syd, Samsø og Djursland Syd";"DK_Coast143";"06.01.1991 00.00.00";"";"False";"https://b0301proddatasto.blob.core.windows.net/files/3usbu1io.pdf";""
"a45750ef-a290-4630-878f-41477f08e256";"Kolby Kås v. Campingplads";"55,801570686086706";"10,528900729911978";"";"SAMSØ KOMMUNE";"Badevandsstation";"Marin";"Århus Bugt syd, Samsø og Djursland Syd";"DK_Coast143";"06.01.1991 00.00.00";"";"False";"https://b0301proddatasto.blob.core.windows.net/files/ln4uwd2h.pdf";""
"6f1035a1-fa8b-46b5-a49f-1a1b315a4246";"Ballen, Nord for havn";"55,81843038034051";"10,637700461719014";"";"SAMSØ KOMMUNE";"Badevandsstation";"Marin";"Århus Bugt syd, Samsø og Nordlige Bælthav";"DK_Coast219";"01.05.2014 00.00.00";"";"False";"https://b0301proddatasto.blob.core.windows.net/files/0zldybns.pdf";""
"e3164142-4624-4761-9d0c-0b7a289dc290";"Nordby ud for campingplads";"55,974354580817675";"10,566478824859885";"";"SAMSØ KOMMUNE";"Badevandsstation";"Marin";"Århus Bugt syd, Samsø og Djursland Syd";"DK_Coast143";"01.01.1992 00.00.00";"";"False";"https://b0301proddatasto.blob.core.windows.net/files/q315he3c.pdf";""
"4598aea8-9024-4e99-8a36-540336dd7386";"Ballen Strandgård, syd for havn";"55,81470767130587";"10,63921989342672";"";"SAMSØ KOMMUNE";"Badevandsstation";"Marin";"Århus Bugt syd, Samsø og Djursland Syd";"DK_Coast143";"06.01.1991 00.00.00";"";"False";"https://b0301proddatasto.blob.core.windows.net/files/u3xwfvuw.pdf";""
"d673bf3d-33f3-4030-830e-5d3d5d4fd203";"Mårup Østerstrand v. sommerhusområde";"55,95085123604912";"10,577381267277191";"";"SAMSØ KOMMUNE";"Badevandsstation";"Marin";"Århus Bugt syd, Samsø og Djursland Syd";"DK_Coast143";"01.01.1992 00.00.00";"";"False";"https://b0301proddatasto.blob.core.windows.net/files/ohgnsqu4.pdf";""
"5bf7a78b-ddc2-46fa-bb8f-54d8377a16d6";"Sælvigbugten ud for campingplads";"55,89167227190336";"10,595128562911162";"";"SAMSØ KOMMUNE";"Badevandsstation";"Marin";"Århus Bugt syd, Samsø og Djursland Syd";"DK_Coast143";"01.01.1992 00.00.00";"";"False";"https://b0301proddatasto.blob.core.windows.net/files/3ukzuurz.pdf";""
"47c596f1-6b56-4efa-89c3-5600bba51b60";"Hasle Havn, Havnekontoret";"55,18923901444315";"14,70502505502715";"";"Bornholms Regionskommune";"Kontrolstation";"Marin";"Mangler";"Mangler";"01.07.2009 00.00.00";"31.12.2009 00.00.00";"False";"";""
"1ccfbffb-bf2d-44b1-b7c4-5a9fb16ed822";"50 m N f Melå";"55,03894586026017";"15,109697930225924";"";"Bornholms Regionskommune";"Badevandsstation";"Marin";"Mangler";"Mangler";"01.01.1971 00.00.00";"01.01.1994 00.00.00";"False";"";""
"462111b9-64a7-4e74-b769-6087f74be5cb";"Strandsti Syd";"55,255249287507304";"14,82489754565848";"";"Bornholms Regionskommune";"Kontrolstation";"Marin";"Mangler";"Mangler";"01.01.1991 00.00.00";"31.12.2002 00.00.00";"False";"";""
"8203e075-85e4-44ae-9cc5-619c449d7aa1";"Rønne 500 m Syd";"55,08438388400349";"14,704698124005835";"";"Bornholms Regionskommune";"Badevandsstation";"Marin";"Bornholm 12 sm";"DK_Coast58";"01.01.1969 00.00.00";"";"False";"https://b0301proddatasto.blob.core.windows.net/files/tmutoyjq.pdf";""
"f82972ca-2bff-4cd9-a8bb-53734a6030b2";"Kongensmark";"55,19553766424736";"14,98900573672001";"";"Bornholms Regionskommune";"Badevandsstation";"Marin";"Mangler";"Mangler";"01.01.1971 00.00.00";"01.01.1998 00.00.00";"False";"";""
"d5429774-a794-48a1-91dc-51cade307a5f";"Sandvig";"55,290768332845026";"14,777962875312827";"";"Bornholms Regionskommune";"Badevandsstation";"Marin";"Bornholm 12 sm";"DK_Coast58";"01.01.1971 00.00.00";"";"False";"https://b0301proddatasto.blob.core.windows.net/files/lmrp4egg.pdf";""
"57543054-3442-4796-ac37-454dfec65274";"Opalsøen";"55,282158516403314";"14,761330901491746";"";"Bornholms Regionskommune";"Badevandsstation";"Ferskvand";"Østersøen 1sm, Bornholm";"DK_Coast56";"01.06.2018 00.00.00";"";"False";"https://b0301proddatasto.blob.core.windows.net/files/uqfpml2l.pdf";""
"98d3bfea-f24e-4b85-a445-460d8762a7c2";"Arnager Bugt, Vest for Arnager Havn";"55,05194985934204";"14,779098931984109";"";"Bornholms Regionskommune";"Kontrolstation";"Marin";"Bornholm, 12 sm";"DK_Coast58";"01.05.2018 00.00.00";"";"False";"";""
"25f3fe31-b4da-4b75-8329-482350f9aa9f";"Villa Nova";"55,12580683470977";"14,703614827227947";"";"Bornholms Regionskommune";"Badevandsstation";"Marin";"Mangler";"Mangler";"01.01.1969 00.00.00";"01.01.1999 00.00.00";"False";"";""
